prop_handle,enum_value,term_value,http_status,passed,notes
ctep_disease_term,Non-Small Cell Lung Carcinoma,Non-Small Cell Lung Carcinoma,200,True,
ctep_disease_term,Ovarian Carcinoma,Ovarian Carcinoma,200,True,
ctep_disease_term,Plasma Cell Myeloma,Plasma Cell Myeloma,200,True,
ctep_disease_term,Prostate Carcinoma,Prostate Carcinoma,200,True,
ctep_disease_term,Small Cell Lung Carcinoma,Small Cell Lung Carcinoma,200,True,
ctep_disease_term,Esophageal Carcinoma,Esophageal Carcinoma,200,True,
ctep_disease_term,Fallopian Tube Carcinoma,Fallopian Tube Carcinoma,200,True,
meddra_disease_code,10000884,10000884,200,True,
meddra_disease_code,10066354,10066354,200,True,
meddra_disease_code,10010029,10010029,200,True,
meddra_disease_code,10006190,10006190,200,True,
meddra_disease_code,10053571,10053571,200,True,
meddra_disease_code,10029514,10029514,200,True,
meddra_disease_code,10033159,10033159,200,True,
meddra_disease_code,10028566,10028566,200,True,
meddra_disease_code,10036910,10036910,200,True,
meddra_disease_code,10041071,10041071,200,True,
meddra_disease_code,10017760,10017760,200,True,
meddra_disease_code,10030157,10030157,200,True,
meddra_disease_code,10016180,10016180,200,True,
snomed_disease_term,Acute Myeloid Leukemia,Acute Myeloid Leukemia,200,True,
snomed_disease_term,Acute Myeloid Leukemia with Myelodysplasia-Related Changes,Acute Myeloid Leukemia with Myelodysplasia-Related Changes,200,True,
snomed_disease_term,Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome,Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome,200,True,
snomed_disease_term,Adenocarcinoma,Adenocarcinoma,200,True,
snomed_disease_term,Amelanotic Melanoma,Amelanotic Melanoma,200,True,
snomed_disease_term,Breast Carcinoma,Breast Carcinoma,200,True,
snomed_disease_term,Colon Adenoma,Colon Adenoma,200,True,
snomed_disease_term,Colon Carcinoma,Colon Carcinoma,200,True,
snomed_disease_term,Colorectal Adenocarcinoma,Colorectal Adenocarcinoma,200,True,
snomed_disease_term,Cutaneous Melanoma,Cutaneous Melanoma,200,True,
snomed_disease_term,Epithelioid Cell Melanoma,Epithelioid Cell Melanoma,200,True,
snomed_disease_term,Esophageal Adenocarcinoma,Esophageal Adenocarcinoma,200,True,
snomed_disease_term,Esophageal Carcinoma,Esophageal Carcinoma,200,True,
snomed_disease_term,Fallopian Tube Carcinoma,Fallopian Tube Carcinoma,200,True,
snomed_disease_term,Gastric Adenocarcinoma,Gastric Adenocarcinoma,200,True,
snomed_disease_term,"Invasive Ductal Carcinoma, Not Otherwise Specified","Invasive Ductal Carcinoma, Not Otherwise Specified",200,True,
snomed_disease_term,Invasive Lobular Breast Carcinoma,Invasive Lobular Breast Carcinoma,200,True,
snomed_disease_term,Lung Carcinoma,Lung Carcinoma,200,True,
snomed_disease_term,Lung Papillary Adenoma,Lung Papillary Adenoma,200,True,
snomed_disease_term,Lung Adenocarcinoma,Lung Adenocarcinoma,200,True,
snomed_disease_term,Malignant neoplasm of ovary,Malignant neoplasm of ovary,200,True,
snomed_disease_term,Melanoma,Melanoma,200,True,
snomed_disease_term,Mucinous Adenocarcinoma,Mucinous Adenocarcinoma,200,True,
snomed_disease_term,Multiple myeloma,Multiple myeloma,200,True,
snomed_disease_term,Multiple myeloma and immunoproliferative disease,Multiple myeloma and immunoproliferative disease,200,True,
snomed_disease_term,Neuroendocrine Carcinoma,Neuroendocrine Carcinoma,200,True,
snomed_disease_term,Nodular Melanoma,Nodular Melanoma,200,True,
snomed_disease_term,Non-Small Cell Lung Carcinoma,Non-Small Cell Lung Carcinoma,200,True,
snomed_disease_term,Ovarian Carcinoma,Ovarian Carcinoma,200,True,
snomed_disease_term,Plasma Cell Leukemia,Plasma Cell Leukemia,200,True,
snomed_disease_term,Plasma Cell Myeloma,Plasma Cell Myeloma,200,True,
snomed_disease_term,Prostate Adenocarcinoma,Prostate Adenocarcinoma,200,True,
snomed_disease_term,Prostate Carcinoma,Prostate Carcinoma,200,True,
snomed_disease_term,Rectal Adenoma,Rectal Adenoma,200,True,
snomed_disease_term,Rectal Carcinoma,Rectal Carcinoma,200,True,
snomed_disease_term,Small Cell Carcinoma,Small Cell Carcinoma,200,True,
snomed_disease_term,Small Cell Lung Carcinoma,Small Cell Lung Carcinoma,200,True,
snomed_disease_term,Squamous Cell Carcinoma,Squamous Cell Carcinoma,200,True,
snomed_disease_term,Squamous Cell Lung Carcinoma,Squamous Cell Lung Carcinoma,200,True,
snomed_disease_term,Superficial Spreading Melanoma,Superficial Spreading Melanoma,200,True,
snomed_disease_term,Triple-Negative Breast Carcinoma,Triple-Negative Breast Carcinoma,200,True,
snomed_disease_term,Anal Carcinoma,Anal Carcinoma,200,True,
snomed_disease_term,Invasive Ductal Carcinoma,Invasive Ductal Carcinoma,200,True,
snomed_disease_term,Mixed Lobular and Ductal Breast Carcinoma,Mixed Lobular and Ductal Breast Carcinoma,200,True,
snomed_disease_term,Female Breast Carcinoma,Female Breast Carcinoma,200,True,
snomed_disease_code,17788007,17788007,200,True,
snomed_disease_code,445448008,445448008,200,True,
snomed_disease_code,128827005,128827005,200,True,
snomed_disease_code,35917007,35917007,200,True,
snomed_disease_code,443961001,443961001,200,True,
snomed_disease_code,70594002,70594002,200,True,
snomed_disease_code,254838004,254838004,200,True,
snomed_disease_code,428054006,428054006,200,True,
snomed_disease_code,269533000,269533000,200,True,
snomed_disease_code,408645001,408645001,200,True,
snomed_disease_code,93655004,93655004,200,True,
snomed_disease_code,37138001,37138001,200,True,
snomed_disease_code,276803003,276803003,200,True,
snomed_disease_code,372138000,372138000,200,True,
snomed_disease_code,276870001,276870001,200,True,
snomed_disease_code,408647009,408647009,200,True,
snomed_disease_code,408643008,408643008,200,True,
snomed_disease_code,89740008,89740008,200,True,
snomed_disease_code,254626006,254626006,200,True,
snomed_disease_code,448993007,448993007,200,True,
snomed_disease_code,24482001,24482001,200,True,
snomed_disease_code,254849005,254849005,200,True,
snomed_disease_code,2092003,2092003,200,True,
snomed_disease_code,372244006,372244006,200,True,
snomed_disease_code,72495009,72495009,200,True,
snomed_disease_code,55921005a,55921005a,200,True,
snomed_disease_code,55921005,55921005,200,True,
snomed_disease_code,188717001,188717001,200,True,
snomed_disease_code,253000007,253000007,200,True,
snomed_disease_code,2142002,2142002,200,True,
snomed_disease_code,254731001,254731001,200,True,
snomed_disease_code,254637007,254637007,200,True,
snomed_disease_code,128922003,128922003,200,True,
snomed_disease_code,109989006,109989006,200,True,
snomed_disease_code,55921005b,55921005b,200,True,
snomed_disease_code,399490008,399490008,200,True,
snomed_disease_code,254900004,254900004,200,True,
snomed_disease_code,399068003,399068003,200,True,
snomed_disease_code,399730005,399730005,200,True,
snomed_disease_code,254582000,254582000,200,True,
snomed_disease_code,74364000,74364000,200,True,
snomed_disease_code,254632001,254632001,200,True,
snomed_disease_code,254633006,254633006,200,True,
snomed_disease_code,28899001,28899001,200,True,
snomed_disease_code,402815007,402815007,200,True,
snomed_disease_code,254634000,254634000,200,True,
snomed_disease_code,254730000,254730000,200,True,
snomed_disease_code,706970001,706970001,200,True,
snomed_disease_code,255084004,255084004,200,True,
snomed_disease_code,444604002,444604002,200,True,
snomed_disease_code,447782002,447782002,200,True,
stage_of_disease,Stage III,Stage III,200,True,
stage_of_disease,Stage IIIA,Stage IIIA,200,True,
stage_of_disease,Stage IIIB,Stage IIIB,200,True,
stage_of_disease,Stage IIIC,Stage IIIC,200,True,
stage_of_disease,Stage IV,Stage IV,200,True,
stage_of_disease,Stage IVA,Stage IVA,200,True,
stage_of_disease,Stage IVB,Stage IVB,200,True,
stage_of_disease,Stage IVC,Stage IVC,200,True,
stage_of_disease,NA,NA,200,True,
tumor_grade,Grade cannot be assessed,Grade cannot be assessed,200,True,
tumor_grade,Borderline malignancy,Borderline malignancy,200,True,
tumor_grade,Well Differentiated,Well Differentiated,200,True,
tumor_grade,Moderately Differentiated,Moderately Differentiated,200,True,
tumor_grade,Poorly Differentiated,Poorly Differentiated,200,True,
tumor_grade,Undifferentiated grade,Undifferentiated grade,200,True,
best_response_to_targeted_therapy,Complete Response,Complete Response,200,True,
best_response_to_targeted_therapy,Partial Response,Partial Response,200,True,
best_response_to_targeted_therapy,Less than partial response,Less than partial response,200,True,
best_response_to_targeted_therapy,Stable Disease,Stable Disease,200,True,
best_response_to_targeted_therapy,Progressive Disease,Progressive Disease,200,True,
best_response_to_targeted_therapy,Not Assessed,Not Assessed,200,True,
best_response_to_targeted_therapy,Too Early,Too Early,200,True,
best_response_to_targeted_therapy,Not Evaluable,Not Evaluable,200,True,
best_response_to_targeted_therapy,Unknown,Unknown,200,True,
best_response_to_non_targeted_therapy,Complete Response,Complete Response,200,True,
best_response_to_non_targeted_therapy,Partial Response,Partial Response,200,True,
best_response_to_non_targeted_therapy,Less than partial response,Less than partial response,200,True,
best_response_to_non_targeted_therapy,Stable Disease,Stable Disease,200,True,
best_response_to_non_targeted_therapy,Progressive Disease,Progressive Disease,200,True,
best_response_to_non_targeted_therapy,Not Assessed,Not Assessed,200,True,
best_response_to_non_targeted_therapy,Too Early,Too Early,200,True,
best_response_to_non_targeted_therapy,Not Evaluable,Not Evaluable,200,True,
best_response_to_non_targeted_therapy,Unknown,Unknown,200,True,
surgical_procedure_therapeutic,Yes,Yes,200,True,
surgical_procedure_therapeutic,No,No,200,True,
best_response_to_radiotherapy,Complete Response,Complete Response,200,True,
best_response_to_radiotherapy,Partial Response,Partial Response,200,True,
best_response_to_radiotherapy,Less than partial response,Less than partial response,200,True,
best_response_to_radiotherapy,Stable Disease,Stable Disease,200,True,
best_response_to_radiotherapy,Progressive Disease,Progressive Disease,200,True,
best_response_to_radiotherapy,Not Assessed,Not Assessed,200,True,
best_response_to_radiotherapy,Too Early,Too Early,200,True,
best_response_to_radiotherapy,Not Evaluable,Not Evaluable,200,True,
best_response_to_radiotherapy,Unknown,Unknown,200,True,
survival_status,ALIVE,ALIVE,200,True,
survival_status,DEAD,DEAD,200,True,
survival_status,UNKNOWN,UNKNOWN,200,True,
survival_status,Alive with Disease,Alive with Disease,200,True,
survival_status,Alive with No Evidence of Disease,Alive with No Evidence of Disease,200,True,
survival_status,"Alive, Disease Status Unknown","Alive, Disease Status Unknown",200,True,
survival_status,Dead,Dead,200,True,
off_study,Yes,Yes,200,True,
off_study,No,No,200,True,
off_study,Unknown,Unknown,200,True,
off_study_reason,ADVERSE EVENT,ADVERSE EVENT,200,True,
off_study_reason,APPROVED DRUG AVAILABLE FOR INDICATION,APPROVED DRUG AVAILABLE FOR INDICATION,200,True,
off_study_reason,COMPLETED,COMPLETED,200,True,
off_study_reason,DEATH,DEATH,200,True,
off_study_reason,DISEASE RELAPSE,DISEASE RELAPSE,200,True,
off_study_reason,FAILURE TO MEET CONTINUATION CRITERIA,FAILURE TO MEET CONTINUATION CRITERIA,200,True,
off_study_reason,FAILURE TO MEET RANDOMIZATION CRITERIA,FAILURE TO MEET RANDOMIZATION CRITERIA,200,True,
off_study_reason,LACK OF EFFICACY,LACK OF EFFICACY,200,True,
off_study_reason,LOGISTICAL PROBLEM,LOGISTICAL PROBLEM,200,True,
off_study_reason,LOST TO FOLLOW-UP,LOST TO FOLLOW-UP,200,True,
off_study_reason,MET ELIGIBILITY CRITERIA BUT NOT NEEDED,MET ELIGIBILITY CRITERIA BUT NOT NEEDED,200,True,
off_study_reason,NEVER DOSED,NEVER DOSED,200,True,
off_study_reason,NO LONGER CLINICALLY BENEFITING,NO LONGER CLINICALLY BENEFITING,200,True,
off_study_reason,NON-COMPLIANCE WITH NON-STUDY DEVICE,NON-COMPLIANCE WITH NON-STUDY DEVICE,200,True,
off_study_reason,NON-COMPLIANCE WITH STUDY DEVICE,NON-COMPLIANCE WITH STUDY DEVICE,200,True,
off_study_reason,NON-COMPLIANCE WITH STUDY DRUG,NON-COMPLIANCE WITH STUDY DRUG,200,True,
off_study_reason,NON-COMPLIANCE WITH STUDY SCHEDULE,NON-COMPLIANCE WITH STUDY SCHEDULE,200,True,
off_study_reason,OTHER,OTHER,200,True,
off_study_reason,PARTNER PREGNANCY,PARTNER PREGNANCY,200,True,
off_study_reason,PHYSICIAN DECISION,PHYSICIAN DECISION,200,True,
off_study_reason,PREGNANCY,PREGNANCY,200,True,
off_study_reason,PROGRESSIVE DISEASE,PROGRESSIVE DISEASE,200,True,
off_study_reason,PROTOCOL DEVIATION,PROTOCOL DEVIATION,200,True,
