prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
diagnosis_classification_system,MedDRA,,The standard or agency upon which the specific term used as the diagnosis value was obtained.,,,
diagnosis_classification_system,ICD-O-3,,The standard or agency upon which the specific term used as the diagnosis value was obtained.,,,
diagnosis_classification_system,ICD-10-CM,,The standard or agency upon which the specific term used as the diagnosis value was obtained.,,,
primary_diagnosis_disease_group,"Colorectal cancer, NOS",,A term describing the main condition for evaluation and treatment as captured,,,
primary_diagnosis_disease_group,"Acute myeloid leukemia, NOS",,A term describing the main condition for evaluation and treatment as captured,,,
primary_diagnosis_disease_group,Adenocarcinoma of the gastroesophageal junction,,A term describing the main condition for evaluation and treatment as captured,,,
primary_diagnosis_disease_group,Melanoma,,A term describing the main condition for evaluation and treatment as captured,,,
primary_diagnosis_disease_group,"Myeloma, NOS",,A term describing the main condition for evaluation and treatment as captured,,,
primary_diagnosis_disease_group,"Non-small cell lung cancer, NOS",,A term describing the main condition for evaluation and treatment as captured,,,
primary_diagnosis_disease_group,"Prostate cancer, NOS",,A term describing the main condition for evaluation and treatment as captured,,,
primary_diagnosis_disease_group,Small cell lung cancer,,A term describing the main condition for evaluation and treatment as captured,,,
primary_diagnosis_disease_group,Invasive breast carcinoma,,A term describing the main condition for evaluation and treatment as captured,,,
primary_diagnosis_disease_group,Fallopian tube carcinoma,,A term describing the main condition for evaluation and treatment as captured,,,
primary_diagnosis_disease_group,"Gastric cancer, NOS",,A term describing the main condition for evaluation and treatment as captured,,,
primary_diagnosis_disease_group,Primary peritoneal carcinoma,,A term describing the main condition for evaluation and treatment as captured,,,
primary_diagnosis_disease_group,"Esophageal cancer, NOS",,A term describing the main condition for evaluation and treatment as captured,,,
primary_diagnosis_disease_group,Ovarian epithelial cancer,,A term describing the main condition for evaluation and treatment as captured,,,
ctep_disease_term,Acute Myeloid Leukemia Not Otherwise Specified,,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,,,
ctep_disease_term,Adenocarcinoma of the Gastroesophageal Junction,,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,,,
ctep_disease_term,Colorectal Carcinoma,,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,,,
ctep_disease_term,Gastric Carcinoma,,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,,,
ctep_disease_term,Invasive Breast Carcinoma,,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,,,
ctep_disease_term,Melanoma,,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,,,
ctep_disease_term,Non-Small Cell Lung Carcinoma,,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,,,
ctep_disease_term,Ovarian Carcinoma,,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,,,
ctep_disease_term,Plasma Cell Myeloma,,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,,,
ctep_disease_term,Prostate Carcinoma,,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,,,
ctep_disease_term,Small Cell Lung Carcinoma,,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,,,
