prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
off_study_reason,WITHDRAWAL BY SUBJECT,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,WITHDRAWAL OF ASSENT,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,WITHDRAWAL OF CONSENT,,An explanation describing why an individual is no longer receiving protocol,,,
specimen_type,Bone Marrow Aspirate,,The kind of material that forms the parent sample as captured in the Ontology,,,
specimen_type,Cell Block,,The kind of material that forms the parent sample as captured in the Ontology,,,
specimen_type,EDTA Blood,,The kind of material that forms the parent sample as captured in the Ontology,,,
specimen_type,FFPE Block,,The kind of material that forms the parent sample as captured in the Ontology,,,
specimen_type,Formalin Bone Marrow Biopsy,,The kind of material that forms the parent sample as captured in the Ontology,,,
specimen_type,Formalin Fixed Tissue,,The kind of material that forms the parent sample as captured in the Ontology,,,
specimen_type,FORMALIN FIXED TISSUE,,The kind of material that forms the parent sample as captured in the Ontology,,,
specimen_type,Snap Frozen Tissue,,The kind of material that forms the parent sample as captured in the Ontology,,,
specimen_type,Stained Bone Marrow Aspirate Slide,,The kind of material that forms the parent sample as captured in the Ontology,,,
specimen_type,Streck Blood,,The kind of material that forms the parent sample as captured in the Ontology,,,
specimen_type,Streck Blood to VARI,,The kind of material that forms the parent sample as captured in the Ontology,,,
specimen_type,Unstained Bone Marrow Aspirate Slide,,The kind of material that forms the parent sample as captured in the Ontology,,,
specimen_type,Unstained Slide,,The kind of material that forms the parent sample as captured in the Ontology,,,
specimen_type,Fresh Tissue in Media to PDMR,,The kind of material that forms the parent sample as captured in the Ontology,,,
specimen_type,Streck Blood to PDMR,,The kind of material that forms the parent sample as captured in the Ontology,,,
specimen_category,BLOOD,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,Blood,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,BONE MARROW,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,Bone Marrow,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,BUCCAL CELL SAMPLE,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,CEREBROSPINAL FLUID,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,FORMALIN FIXED PARAFFIN EMBEDDED TISSUE,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,Formalin Fixed Paraffin Embedded Tissue,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,FORMALIN FIXED TISSUE,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,Formalin Fixed Tissue,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,FRESH TISSUE,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,Fresh Tissue,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,FROZEN TISSUE,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,Frozen Tissue,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,OTHER BODILY FLUIDs,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,SALIVA,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,STOOL,,The biospecimen grouping that describes the kind of material that forms,,,
specimen_category,URINE,,The biospecimen grouping that describes the kind of material that forms,,,
tissue_category,Metastatic,,A text term based on categorization of cytologic atypia found in cellular,,,
tissue_category,Normal,,A text term based on categorization of cytologic atypia found in cellular,,,
tissue_category,Primary,,A text term based on categorization of cytologic atypia found in cellular,,,
tissue_category,Adjacent Non-Tumor,,A text term based on categorization of cytologic atypia found in cellular,,,
assessment_timepoint,ARCHIVAL,,"A specific point in the time continuum, including those established relative",,,
assessment_timepoint,BASELINE,,"A specific point in the time continuum, including those established relative",,,
assessment_timepoint,ON TREATMENT,,"A specific point in the time continuum, including those established relative",,,
assessment_timepoint,PROGRESSION,,"A specific point in the time continuum, including those established relative",,,
assessment_timepoint,Baseline (Fresh),,"A specific point in the time continuum, including those established relative",,,
assessment_timepoint,On Treatment (Fresh),,"A specific point in the time continuum, including those established relative",,,
assessment_timepoint,Archival,,"A specific point in the time continuum, including those established relative",,,
assessment_timepoint,Progression (Fresh),,"A specific point in the time continuum, including those established relative",,,
assessment_timepoint,Post-Treatment (No progression),,"A specific point in the time continuum, including those established relative",,,
quality_of_specimen,https://cadsr.cancer.gov/onedata/Home.jsp,,The final state of a sample which is based on an evaluation of its quality.,,,
assay_type,Next Generation Sequencing,,The type of assay performed on the biospecimen.,,,
assay_type,Immune,,The type of assay performed on the biospecimen.,,,
assay_type,Cell Based,,The type of assay performed on the biospecimen.,,,
assay_subtype,atacseq,,The subtype of assay performed on the biospecimen.,,,
assay_subtype,rnaseq,,The subtype of assay performed on the biospecimen.,,,
assay_subtype,scrnaseq,,The subtype of assay performed on the biospecimen.,,,
assay_subtype,visium,,The subtype of assay performed on the biospecimen.,,,
assay_subtype,wes,,The subtype of assay performed on the biospecimen.,,,
assay_subtype,tcr,,The subtype of assay performed on the biospecimen.,,,
assay_subtype,cytof,,The subtype of assay performed on the biospecimen.,,,
assay_subtype,elisa,,The subtype of assay performed on the biospecimen.,,,
assay_subtype,nulisa,,The subtype of assay performed on the biospecimen.,,,
assay_subtype,cdtdna,,The subtype of assay performed on the biospecimen.,,,
assay_subtype,olink,,The subtype of assay performed on the biospecimen.,,,
assay_subtype,ihc,,The subtype of assay performed on the biospecimen.,,,
assay_subtype,mibi,,The subtype of assay performed on the biospecimen.,,,
assay_subtype,hande,,The subtype of assay performed on the biospecimen.,,,
assay_subtype,microbiome,,The subtype of assay performed on the biospecimen.,,,
qc_status,pass,,Overall quality control flag based on predefined thresholds.,,,
qc_status,fail,,Overall quality control flag based on predefined thresholds.,,,
sequencing_platform,Illumina NovaSeq 6000,,The sequencing technology platform used to generate the sequencing data.,,,
sequencing_platform,Illumina NextSeq 550,,The sequencing technology platform used to generate the sequencing data.,,,
sequencing_platform,Illumina HiSeq 4000,,The sequencing technology platform used to generate the sequencing data.,,,
sequencing_platform,Illumina HiSeq 2500,,The sequencing technology platform used to generate the sequencing data.,,,
sequencing_platform,Illumina HiSeq X Ten,,The sequencing technology platform used to generate the sequencing data.,,,
sequencing_platform,Illumina NextSeq 2000,,The sequencing technology platform used to generate the sequencing data.,,,
sequencing_platform,Illumina NovaSeq 500,,The sequencing technology platform used to generate the sequencing data.,,,
sequencing_platform,Illumina MiSeq,,The sequencing technology platform used to generate the sequencing data.,,,
sequencing_platform,PacBio Sequel II,,The sequencing technology platform used to generate the sequencing data.,,,
sequencing_platform,Oxford Nanopore PromethION,,The sequencing technology platform used to generate the sequencing data.,,,
paired_end_sequencing,Yes,,"Indicates whether the sequencing was performed using paired-end reads,",,,
paired_end_sequencing,No,,"Indicates whether the sequencing was performed using paired-end reads,",,,
azimuth_reference_genome_version,Human PBMC,,The version of the reference genome used for aligning sequencing reads,,,
azimuth_reference_genome_version,Human Motor Cortex,,The version of the reference genome used for aligning sequencing reads,,,
azimuth_reference_genome_version,Mouse Motor Cortex,,The version of the reference genome used for aligning sequencing reads,,,
azimuth_reference_genome_version,Human Pancreas,,The version of the reference genome used for aligning sequencing reads,,,
azimuth_reference_genome_version,Human Fetal Development,,The version of the reference genome used for aligning sequencing reads,,,
azimuth_reference_genome_version,Human Kidney,,The version of the reference genome used for aligning sequencing reads,,,
azimuth_reference_genome_version,Human Bone Marrow,,The version of the reference genome used for aligning sequencing reads,,,
azimuth_reference_genome_version,Human Lung v2 (HLCA),,The version of the reference genome used for aligning sequencing reads,,,
azimuth_reference_genome_version,Human Adipose,,The version of the reference genome used for aligning sequencing reads,,,
azimuth_reference_genome_version,Human Heart,,The version of the reference genome used for aligning sequencing reads,,,
azimuth_reference_genome_version,Human Liver,,The version of the reference genome used for aligning sequencing reads,,,
azimuth_reference_genome_version,Human Tonsil v2,,The version of the reference genome used for aligning sequencing reads,,,
azimuth_reference_genome_version,Mouse Pansci,,The version of the reference genome used for aligning sequencing reads,,,
azimuth_reference_genome_version,None,,The version of the reference genome used for aligning sequencing reads,,,
tabula_sapiens_reference_genome_version,Tabula Sapiens v1.0,,The version of the Tabula Sapiens reference genome used for aligning,,,
tabula_sapiens_reference_genome_version,Tabula Sapiens v2.0,,The version of the Tabula Sapiens reference genome used for aligning,,,
tabula_sapiens_reference_genome_version,None,,The version of the Tabula Sapiens reference genome used for aligning,,,
antigen_type,Protein,,The type of antigen targeted in the immune assay.,,,
antigen_type,Peptide,,The type of antigen targeted in the immune assay.,,,
antigen_type,RNA,,The type of antigen targeted in the immune assay.,,,
antigen_type,Other,,The type of antigen targeted in the immune assay.,,,
positive_cell_detection,Proprietary,,The model used for positive cell detection used in the cell based assay.,,,
positive_cell_detection,Random Forest Classifier,,The model used for positive cell detection used in the cell based assay.,,,
positive_cell_detection,Other,,The model used for positive cell detection used in the cell based assay.,,,
data_file_type,Clinical Report,,The type of information contained in an electronic record. A curated indicator,,,
data_file_type,File Collection,,The type of information contained in an electronic record. A curated indicator,,,
data_file_type,Investigator Report,,The type of information contained in an electronic record. A curated indicator,,,
data_file_type,Variant Call File,,The type of information contained in an electronic record. A curated indicator,,,
data_file_type,Variant Report,,The type of information contained in an electronic record. A curated indicator,,,
data_file_type,Radiology Images,,The type of information contained in an electronic record. A curated indicator,,,
data_file_format,docx,,A defined organization or layout representing and structuring data in a,,,
data_file_format,gz,,A defined organization or layout representing and structuring data in a,,,
data_file_format,pdf,,A defined organization or layout representing and structuring data in a,,,
data_file_format,vcf,,A defined organization or layout representing and structuring data in a,,,
data_file_format,zip,,A defined organization or layout representing and structuring data in a,,,
data_file_format,dcm,,A defined organization or layout representing and structuring data in a,,,
data_file_checksum_type,md5sum,,The method by which the file checksum was calculated. <br>CDE ID = 11475057,,,
data_file_checksum_type,sha1,,The method by which the file checksum was calculated. <br>CDE ID = 11475057,,,
data_file_checksum_type,sha256,,The method by which the file checksum was calculated. <br>CDE ID = 11475057,,,
data_file_compression_status,Compressed,,The state of data when saved to storage space or during data transmission.,,,
data_file_compression_status,Uncompressed,,The state of data when saved to storage space or during data transmission.,,,
data_file_compression_status,Unknown,,The state of data when saved to storage space or during data transmission.,,,
